pixel,1067A,1072A,1077A,1082A,1087A,1092A,1097A,1102A,1107A,1112A,1117A,1122A,1127A,1132A,1137A,1142A,1147A,1152A,1157A,1162A,1167A,1172A,1177A,1182A,1187A,1192A,1197A,1202A,1207A,1227A,1232A,1237A,1242A,1247A,1252A,1257A,1262A,1267A,1272A,1277A,1282A,1287A,1292A,1297A,1302A,1307A,1312A,1317A,1322A,1327A,1332A,1337A,1342A,1347A,1352A,1357A,1362A
0,5.457735860784118e-06,5.546843437350882e-06,5.685506410164579e-06,5.913977124482967e-06,5.932299381558651e-06,6.081007797607182e-06,6.135766948662122e-06,6.154484160914286e-06,6.2217822285722315e-06,6.18799343065769e-06,6.146629666040672e-06,6.227397266386099e-06,6.109436988231918e-06,6.0624570112955145e-06,5.96811751995799e-06,6.036770354090069e-06,5.974267345514689e-06,5.944193234991494e-06,6.07358224581362e-06,6.305743298511558e-06,6.4101734894102874e-06,6.565699032852373e-06,6.650871633116103e-06,6.713738430529793e-06,6.911035005428517e-06,7.089761327267873e-06,7.135951704720662e-06,7.347270191103996e-06,7.389974348793456e-06,7.180058305274989e-06,7.0321913503754604e-06,6.918466571275394e-06,6.978276785658533e-06,6.834206821347689e-06,6.726735621772319e-06,6.635739321950558e-06,6.674653361437475e-06,6.8459799279528256e-06,6.6382792021649675e-06,6.506740907404764e-06,6.536768266999966e-06,6.238748419797431e-06,6.390757842662582e-06,6.493748568927727e-06,6.309223609437212e-06,6.488003235266105e-06,6.810706430887332e-06,6.714500569533997e-06,6.745507807536585e-06,6.8537265415251746e-06,7.0740372774041744e-06,6.967479878095042e-06,7.340228127151112e-06,7.042641691238121e-06,6.821227729205265e-06,7.0465262827634355e-06,7.0399222747143065e-06
1,5.507251236701151e-06,5.562015384296863e-06,5.780736182719416e-06,5.960874748506387e-06,5.967910729232993e-06,6.1467618139054075e-06,6.223434619090154e-06,6.2045541356266875e-06,6.2541523796248074e-06,6.153703031920864e-06,6.018911566949282e-06,6.1265257381613925e-06,6.034483616887059e-06,5.944136673262878e-06,5.846398250437182e-06,5.969680642189801e-06,5.960628131015461e-06,5.982041378181677e-06,6.051643511524863e-06,6.271813000310338e-06,6.409409318628158e-06,6.485276022375627e-06,6.611438357105185e-06,6.678834966184968e-06,6.912480209633832e-06,7.136299700618986e-06,7.162664136882867e-06,7.367636389340277e-06,7.3796221942571705e-06,7.2003527437228375e-06,7.038145606236157e-06,6.861977236095565e-06,6.881702917672847e-06,6.826671294267139e-06,6.687165870661397e-06,6.655157951886909e-06,6.658743942224984e-06,6.634170080881381e-06,6.4678583395232835e-06,6.381792561972793e-06,6.4905096272373296e-06,6.220984637240063e-06,6.410042320669867e-06,6.444181894837042e-06,6.330139437128023e-06,6.5372303531894975e-06,6.841849594233852e-06,6.694699077009526e-06,6.824174427735708e-06,6.861781469960305e-06,7.167695672056752e-06,7.068741603747203e-06,7.423897813913465e-06,7.142521468255282e-06,6.9820946464615295e-06,7.24954359460535e-06,7.152660370396112e-06
2,5.557027661138542e-06,5.593023165289815e-06,5.857435431892403e-06,5.9801767057350506e-06,5.9904883102479e-06,6.178901553529175e-06,6.217035629582364e-06,6.200327824618871e-06,6.208893740795992e-06,6.084547044108063e-06,5.940062740170536e-06,6.048540517524087e-06,6.004814418254783e-06,5.902421570535029e-06,5.821857394962209e-06,5.979438885335634e-06,6.0010925212655324e-06,6.085783818207455e-06,6.104037739421699e-06,6.2915985997625335e-06,6.404808733745012e-06,6.409675717136169e-06,6.5500334321564674e-06,6.606545794187847e-06,6.884548202645555e-06,7.151202696158566e-06,7.166899726102991e-06,7.327948498325278e-06,7.34083373980054e-06,7.195089996073648e-06,7.063454412158348e-06,6.866099858585146e-06,6.82615553892369e-06,6.828177181534167e-06,6.670489083891198e-06,6.702818844674638e-06,6.691388873133018e-06,6.5452888114240645e-06,6.405025207993392e-06,6.299934034393117e-06,6.469646731746734e-06,6.254419230648938e-06,6.438406031200826e-06,6.463134047308411e-06,6.392253533596602e-06,6.620833867873086e-06,6.8746197275412e-06,6.716811952777574e-06,6.901180101467357e-06,6.88045376580785e-06,7.18916514139186e-06,7.121242198792419e-06,7.419341967410247e-06,7.191755609757501e-06,7.116244260967146e-06,7.36518833714951e-06,7.2291725977913776e-06
3,5.6177791746442455e-06,5.649573161036703e-06,5.922365848942822e-06,5.975844077271896e-06,5.997618002450695e-06,6.181068081318084e-06,6.143448261677695e-06,6.168122497306142e-06,6.12871985396405e-06,6.022463663008997e-06,5.876813457513049e-06,5.977063588769145e-06,5.9971713865502226e-06,5.919476976569172e-06,5.8512236989085896e-06,6.0410251135515745e-06,6.067056372835279e-06,6.206641063011343e-06,6.182838678751872e-06,6.329347226666393e-06,6.412962448600444e-06,6.361148479418952e-06,6.4910744263068e-06,6.530429439103164e-06,6.85290312364625e-06,7.135230909062076e-06,7.155339919502589e-06,7.258268315146968e-06,7.287147667397348e-06,7.166813197961583e-06,7.080196732401777e-06,6.894681078707055e-06,6.790812760860969e-06,6.8349679263266275e-06,6.669134774126056e-06,6.775816061556698e-06,6.743365243992163e-06,6.516046036795783e-06,6.407718544659622e-06,6.251862878254885e-06,6.476689351190081e-06,6.32214323264401e-06,6.476861557243018e-06,6.503148364347267e-06,6.461638653797914e-06,6.711235090061139e-06,6.904816328731572e-06,6.7645266941697325e-06,6.976149268866975e-06,6.9234808022304915e-06,7.199203536470449e-06,7.158503726706184e-06,7.383190711392523e-06,7.224285612688553e-06,7.2184127645167514e-06,7.418822625602803e-06,7.307538240340095e-06
4,5.681526256783031e-06,5.73081541907166e-06,5.9500964059326896e-06,5.937555979133369e-06,5.978422699673259e-06,6.1323873156423404e-06,6.0204957214156054e-06,6.1170429747960325e-06,6.041171746358958e-06,5.981107486435059e-06,5.832847886358302e-06,5.9339429442318075e-06,6.02466801101595e-06,6.001165523590267e-06,5.94065848050537e-06,6.155739476217103e-06,6.149707992345294e-06,6.310488053254075e-06,6.275566525156399e-06,6.385976191360245e-06,6.4496295897514865e-06,6.3616944538735846e-06,6.444636872380082e-06,6.4809362817324724e-06,6.8205565309576834e-06,7.06150586177832e-06,7.113126818577849e-06,7.1482457702893814e-06,7.20324687384941e-06,7.102205374045535e-06,7.073075535546713e-06,6.931244942847658e-06,6.78560158024362e-06,6.8541183725550026e-06,6.692009475972591e-06,6.8599229382957764e-06,6.80033345351431e-06,6.5576740737812864e-06,6.47343744397997e-06,6.251610344888205e-06,6.517844001507666e-06,6.431351339996223e-06,6.538668976427937e-06,6.546927847164549e-06,6.53286730271331e-06,6.792097580752899e-06,6.920386679451455e-06,6.822462301646049e-06,7.024874068829131e-06,6.995463408709225e-06,7.2177024156970365e-06,7.188014233403357e-06,7.336362842064696e-06,7.2308888731697525e-06,7.268129149012456e-06,7.4102616294476455e-06,7.3652538422151215e-06
5,5.7537215678016265e-06,5.822509095512913e-06,5.936129340451879e-06,5.872668065820027e-06,5.934461899925968e-06,6.035973107145826e-06,5.900407321083443e-06,6.0581508812124705e-06,5.9653490317698276e-06,5.94879121984094e-06,5.813158218847295e-06,5.933390173301508e-06,6.085081401132568e-06,6.118730590367044e-06,6.071026305263939e-06,6.2907698457503956e-06,6.243922162189527e-06,6.3908517978315225e-06,6.369356217925665e-06,6.451220443644167e-06,6.5095098258075625e-06,6.397853091945128e-06,6.411624883801322e-06,6.479856561545418e-06,6.781789246616087e-06,6.943428267557228e-06,7.031985582751781e-06,6.995156337225215e-06,7.0741838659758304e-06,7.009521917638852e-06,7.04276768947323e-06,6.9508016158312545e-06,6.804733790004319e-06,6.8748477498735825e-06,6.736401569355356e-06,6.928071139435472e-06,6.8422010564327524e-06,6.638747233244843e-06,6.571831885710052e-06,6.3031652336141764e-06,6.585867066054222e-06,6.569854325225119e-06,6.637040656834767e-06,6.5745014339863545e-06,6.611966456762522e-06,6.857431773688459e-06,6.91359934721975e-06,6.871514851587447e-06,7.038591196641775e-06,7.0832964228377e-06,7.261894783483734e-06,7.219844737194902e-06,7.305059463055107e-06,7.225365568189583e-06,7.288077788035986e-06,7.373683999745731e-06,7.3908089645491666e-06
6,5.8348774313964815e-06,5.902769221214628e-06,5.900366821266864e-06,5.795082300966847e-06,5.879299534311527e-06,5.914119835594623e-06,5.8209172211645465e-06,5.9919437202228175e-06,5.908021770877773e-06,5.918147134786956e-06,5.832796882294952e-06,5.979701725662774e-06,6.166097223400482e-06,6.245820236729663e-06,6.21785009486828e-06,6.404465772620708e-06,6.35563960282449e-06,6.465783691306468e-06,6.4566866181446875e-06,6.50930875126009e-06,6.571643658748637e-06,6.452102768325789e-06,6.396969279817092e-06,6.526915117776934e-06,6.736933163081659e-06,6.822817912636873e-06,6.910321303719166e-06,6.815866618277097e-06,6.9035461972416e-06,6.905000381547517e-06,6.998569434332277e-06,6.943517990520197e-06,6.838260499369622e-06,6.878481387090872e-06,6.800106751754898e-06,6.961881115321907e-06,6.86437789667379e-06,6.731448171520591e-06,6.688691462824798e-06,6.421245704205729e-06,6.6810036484076284e-06,6.726347174894984e-06,6.770314939534234e-06,6.5942066662369225e-06,6.702086034084226e-06,6.913861124763463e-06,6.890473687696413e-06,6.901611877676163e-06,7.024303271151172e-06,7.1484842280266724e-06,7.316174794438529e-06,7.240745684091092e-06,7.290321965551525e-06,7.229280766524582e-06,7.308414798764935e-06,7.3336098904575685e-06,7.390455633102644e-06
7,5.913459291478818e-06,5.949248189691459e-06,5.871072655926367e-06,5.7212385713257034e-06,5.831739987067446e-06,5.8001239783125985e-06,5.78919644032848e-06,5.926782608180643e-06,5.877167085370986e-06,5.899314396903103e-06,5.89065652053378e-06,6.057150575516092e-06,6.252267066648034e-06,6.360822733392464e-06,6.3533744620775144e-06,6.473031171187253e-06,6.4870718148747925e-06,6.55516236012837e-06,6.541078467468697e-06,6.555017627927899e-06,6.618624113584191e-06,6.508944495886256e-06,6.404789791490907e-06,6.599084869969837e-06,6.6986268867155286e-06,6.72994142377966e-06,6.7617019774335435e-06,6.6425246239734784e-06,6.724413664985953e-06,6.796986398601035e-06,6.9425278317982556e-06,6.915632903332518e-06,6.871818362014741e-06,6.8590409427786574e-06,6.879880079001593e-06,6.962399249999113e-06,6.8823201406265595e-06,6.818631716874306e-06,6.820721442178654e-06,6.607854685291479e-06,6.801724693829607e-06,6.896743790576222e-06,6.920754216454407e-06,6.6335594973472965e-06,6.801892400659293e-06,6.978376234923375e-06,6.882011369622087e-06,6.919538658655423e-06,7.000924605096151e-06,7.159567205737219e-06,7.348870836336154e-06,7.22962534085094e-06,7.28449660113364e-06,7.260780636177533e-06,7.3478250718453204e-06,7.3058511449595795e-06,7.393470342860907e-06
8,5.968386007972789e-06,5.956604350630837e-06,5.859055835085636e-06,5.674518127559058e-06,5.803104068321934e-06,5.7252291989908575e-06,5.792121595856449e-06,5.882219834888204e-06,5.877780948280318e-06,5.910052783156148e-06,5.96820619873808e-06,6.148053401805906e-06,6.33497265786539e-06,6.449894527319688e-06,6.4602782167488665e-06,6.510331976685379e-06,6.617980759088761e-06,6.655142406083128e-06,6.6329382153461645e-06,6.597250033408263e-06,6.646884694130825e-06,6.556664574603808e-06,6.4320841719428375e-06,6.66978510441735e-06,6.677185397214336e-06,6.663654408281169e-06,6.614666993500091e-06,6.498762604250679e-06,6.5769707131316135e-06,6.688610530111873e-06,6.8689065008430196e-06,6.8787421481690965e-06,6.895612053800816e-06,6.831991226120612e-06,6.966019185726414e-06,6.94249921237867e-06,6.913509779988476e-06,6.895684894436966e-06,6.959328272401198e-06,6.835633768597322e-06,6.938377844831134e-06,7.074102643704718e-06,7.0718156046347225e-06,6.721288755745719e-06,6.919728009550314e-06,7.066636469271989e-06,6.921468279212219e-06,6.9476357164961976e-06,6.987811505865863e-06,7.123732875588409e-06,7.3455709770617916e-06,7.1819951743743315e-06,7.2806712976067585e-06,7.320478395363735e-06,7.406741487447261e-06,7.293624220446698e-06,7.426894548331538e-06
9,5.987063297679049e-06,5.942050726711401e-06,5.858887184954347e-06,5.675408748823222e-06,5.792424132597439e-06,5.708198972162637e-06,5.81763332857319e-06,5.873602704522799e-06,5.902030765209842e-06,5.954731642699698e-06,6.0509063510666215e-06,6.245233136332836e-06,6.410665921694004e-06,6.5090508871337375e-06,6.5364445083740894e-06,6.546906465340107e-06,6.7096153084186724e-06,6.732268719541212e-06,6.725521029411897e-06,6.641280401472506e-06,6.662169336974505e-06,6.596458272443047e-06,6.469940915960399e-06,6.7235762146204285e-06,6.665540189153728e-06,6.610708134161643e-06,6.501475918539401e-06,6.3954904497426865e-06,6.477936392131487e-06,6.583685482684428e-06,6.781593358727652e-06,6.8424554627899215e-06,6.908674411431206e-06,6.823056395135353e-06,7.044574430831447e-06,6.922817534328646e-06,6.959715366468103e-06,6.966553176772319e-06,7.092748708209041e-06,7.059027420903096e-06,7.081262874704615e-06,7.241853669776997e-06,7.218408614802866e-06,6.873252162979632e-06,7.065240643384895e-06,7.181266489783424e-06,7.0183069609816375e-06,6.997641144358093e-06,6.999344747160097e-06,7.0795970675415814e-06,7.318856443620267e-06,7.118198127716643e-06,7.27446035813143e-06,7.386132806957927e-06,7.467759419088701e-06,7.2907537378818874e-06,7.4833884505671585e-06
