pixel,1397A,1402A,1407A,1412A,1417A,1422A,1427A,1432A,1437A,1442A,1447A,1452A,1457A,1462A,1467A,1472A,1477A,1482A,1487A,1492A,1497A,1502A,1507A,1512A,1517A,1522A,1527A,1532A,1537A,1542A,1547A,1552A,1557A,1562A,1567A,1589A,1594A,1599A,1604A,1609A,1614A,1619A,1624A,1629A,1634A,1639A,1644A,1649A,1654A,1659A,1664A,1669A,1674A,1679A,1684A,1689A,1694A,1699A,1704A,1709A,1714A,1719A,1724A,1729A,1734A,1739A,1744A,1749A,1754A,1759A
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.4169421059547096e-06,6.651018521372592e-06,6.283942306303597e-06,6.4478402322281786e-06,6.485338506605156e-06,6.499767556182258e-06,6.453392525963278e-06,6.605874196015208e-06,6.655932165357359e-06,6.563259997883466e-06,6.585972283731439e-06,6.620952340617469e-06,6.547004928255982e-06,6.3905165137069965e-06,6.309521293089906e-06,6.390012050116004e-06,6.3833099732085175e-06,6.199203382378324e-06,6.244349419826115e-06,6.378833473003294e-06,6.328996701632877e-06,6.349107727152078e-06,6.560066952396775e-06,6.506883102353183e-06,6.588730577019885e-06,6.5331613195886984e-06,6.586749810956199e-06,6.8705975573780675e-06,6.9089975530539596e-06,6.797892389492283e-06,6.983237336485919e-06,7.166770359881838e-06,7.024193438068185e-06,7.12850563102359e-06,7.079458984719662e-06,7.0978488728128665e-06,7.351360569248059e-06,7.333340160606136e-06,7.6081912694496125e-06,7.4242579460826415e-06,7.465487335057852e-06,7.413559378586702e-06,7.487582507936652e-06,7.565078603544176e-06,7.3072935037651386e-06,7.4179554144758955e-06,7.4413011512355944e-06,7.5837869619600066e-06,7.324666062733881e-06,7.316747098070195e-06,7.443235807826822e-06,7.3855945682645155e-06,7.312789984915601e-06,7.127302112779016e-06,6.897052473913225e-06,7.342032257199917e-06,7.392833030989641e-06,7.327319743696368e-06,7.228273477688868e-06,6.99895816877697e-06,7.163027665848846e-06,7.209279887806368e-06,7.1272636452488054e-06,7.1863384087964936e-06,6.926318080841715e-06,7.053719955144914e-06,7.069574960726625e-06,7.24854951572728e-06,7.382595501140999e-06,7.110197919165702e-06
2,6.4824956121341285e-06,6.739699774956706e-06,6.4163325978131926e-06,6.5238779102778955e-06,6.599275819288974e-06,6.6488383147623225e-06,6.577009894849912e-06,6.723756728684147e-06,6.771764543121013e-06,6.635465937618172e-06,6.682902778095306e-06,6.71306041072842e-06,6.659112847469668e-06,6.5124237121832295e-06,6.4042165706908835e-06,6.4759826140140965e-06,6.470843660152894e-06,6.3408371711401846e-06,6.363354330559708e-06,6.452291595457703e-06,6.4784315962634835e-06,6.4440745861418685e-06,6.6318359917219766e-06,6.611511323957994e-06,6.6199201852147785e-06,6.611729021512336e-06,6.610000962376804e-06,6.8934634113475085e-06,6.960787328879361e-06,6.875927276113933e-06,6.9661497318390185e-06,7.203155343421492e-06,7.084092690523868e-06,7.230125614249637e-06,7.1487882226988665e-06,7.1981480473346696e-06,7.446335467155503e-06,7.386010272455506e-06,7.735286433911052e-06,7.512039776683321e-06,7.584756784199431e-06,7.509423815267602e-06,7.637216950076625e-06,7.768077122118068e-06,7.43862611377698e-06,7.594444719180063e-06,7.569450831760583e-06,7.791331430042208e-06,7.523504231063118e-06,7.481403350462773e-06,7.587777914564604e-06,7.544686953889584e-06,7.490672026499243e-06,7.305063897498712e-06,6.9968759176714156e-06,7.415596292342172e-06,7.519788834014972e-06,7.389711492120841e-06,7.271071019161281e-06,7.114308863807911e-06,7.266077131534729e-06,7.346335910903363e-06,7.29889541563411e-06,7.40609145166779e-06,7.062530981083867e-06,7.237751688445572e-06,7.228632290282629e-06,7.393471012988899e-06,7.596976103233148e-06,7.256044846253531e-06
3,6.510231543985938e-06,6.752004071672325e-06,6.5039506973670855e-06,6.57028799166765e-06,6.648803571367376e-06,6.744856241322005e-06,6.6758633413550286e-06,6.8000658445544505e-06,6.838337066303667e-06,6.701746053460227e-06,6.761903721476022e-06,6.780248235143821e-06,6.747572370865474e-06,6.612522315512884e-06,6.517170992116164e-06,6.542754013882088e-06,6.525816159387831e-06,6.4834350384522935e-06,6.479197934605623e-06,6.555140025575209e-06,6.6218571809947735e-06,6.534699586695714e-06,6.711589177701319e-06,6.7043174194134614e-06,6.636370215683317e-06,6.68556592325845e-06,6.6812243219008925e-06,6.926054638148341e-06,7.017074973365625e-06,6.937509401490576e-06,6.970201453770088e-06,7.216482239592473e-06,7.1443912895854325e-06,7.297022613828767e-06,7.211691634827623e-06,7.306999942034904e-06,7.476309820329123e-06,7.424701551187602e-06,7.819497071807835e-06,7.582710089587396e-06,7.668514854406446e-06,7.596239543439888e-06,7.743160907612582e-06,7.929194016052098e-06,7.58198036748817e-06,7.739805317819024e-06,7.666434785343698e-06,7.946696621447792e-06,7.668546137835337e-06,7.598173293931334e-06,7.681176366040683e-06,7.638758670900097e-06,7.626566865592627e-06,7.4411631186001375e-06,7.124642589255456e-06,7.46863999469607e-06,7.602731447705406e-06,7.4585392286531906e-06,7.341450593024257e-06,7.275204119096643e-06,7.394323842357532e-06,7.5067384226806624e-06,7.445539888218088e-06,7.61381178125842e-06,7.195196265780444e-06,7.376512980034519e-06,7.3687865077296705e-06,7.494473768541437e-06,7.747971084302907e-06,7.394836617999547e-06
4,6.504131580712864e-06,6.716971899874252e-06,6.559722744849475e-06,6.610769173723154e-06,6.651401928890415e-06,6.80313403456252e-06,6.77685885198415e-06,6.890569933776393e-06,6.898460119847765e-06,6.7892744052025296e-06,6.841968621440535e-06,6.862425350308367e-06,6.848142896528058e-06,6.712450371158889e-06,6.6517323264034875e-06,6.630256142048304e-06,6.5778345450243075e-06,6.633645124580486e-06,6.6252566244609936e-06,6.701436602400178e-06,6.772697135559983e-06,6.666690555340232e-06,6.8141119158619075e-06,6.802302353921549e-06,6.686536899797205e-06,6.770278050493623e-06,6.79072100160859e-06,6.973114450487674e-06,7.076316696575803e-06,7.018688091113414e-06,6.993841274256025e-06,7.233246350385016e-06,7.2058405148678665e-06,7.351918158175142e-06,7.289591858935735e-06,7.437392335247934e-06,7.5117802937422365e-06,7.484621601931515e-06,7.891811639928174e-06,7.667809335236094e-06,7.737147058982127e-06,7.688420873391126e-06,7.833894127744757e-06,8.07718669757377e-06,7.756732378512347e-06,7.879472404964494e-06,7.782632689378686e-06,8.066031108735478e-06,7.787049796559195e-06,7.695745593695277e-06,7.765425440581706e-06,7.707664086561188e-06,7.760322370168002e-06,7.59883639803453e-06,7.305324544919972e-06,7.542612431790816e-06,7.692207497944432e-06,7.554578264254411e-06,7.462283023902173e-06,7.476071420184177e-06,7.547319282320933e-06,7.674012329750334e-06,7.586111552303528e-06,7.813199747934928e-06,7.35177883791044e-06,7.527800979779347e-06,7.532371337125464e-06,7.599579475837252e-06,7.879819701164662e-06,7.550814423310594e-06
5,6.467480368415529e-06,6.6360090460302675e-06,6.569101729622251e-06,6.639327576497527e-06,6.613842027422016e-06,6.8102632508685376e-06,6.860164516526048e-06,6.988523074006496e-06,6.944337009172978e-06,6.882905250248759e-06,6.9236097727589936e-06,6.9636405866286486e-06,6.947730074801981e-06,6.805336628442857e-06,6.7883074869385575e-06,6.735224022024321e-06,6.64352393485123e-06,6.7740477248412026e-06,6.794804013394682e-06,6.870703409029679e-06,6.916704483934964e-06,6.858981896396801e-06,6.942280214342849e-06,6.897882565334752e-06,6.784564817312303e-06,6.876955332849548e-06,6.925493757862662e-06,7.031686230237471e-06,7.125944876242218e-06,7.124505078228848e-06,7.051291533386137e-06,7.259317639952622e-06,7.2609435286311596e-06,7.398809618821367e-06,7.381122169102208e-06,7.577669634344328e-06,7.576416316642003e-06,7.568808035430551e-06,7.938462489407781e-06,7.755785227213898e-06,7.78022105298314e-06,7.773273481004229e-06,7.900215477726837e-06,8.188019738876912e-06,7.927156772727272e-06,7.98526679431913e-06,7.902848934852022e-06,8.125356477602714e-06,7.867972917713408e-06,7.766203493845772e-06,7.834583123451303e-06,7.7568164728435e-06,7.88352717033989e-06,7.777164481751612e-06,7.5284018188712736e-06,7.639649985808604e-06,7.796459266206575e-06,7.674751100602671e-06,7.632792764196761e-06,7.682892671246498e-06,7.706307262535753e-06,7.821092840751883e-06,7.712464804819549e-06,7.976715333464863e-06,7.5356054269725085e-06,7.708856103979516e-06,7.723169529354524e-06,7.71516338702731e-06,7.99386475262711e-06,7.713960495850673e-06
6,6.428689404314108e-06,6.534268136249023e-06,6.548167025493661e-06,6.65998206795067e-06,6.574221517985642e-06,6.795715071974507e-06,6.91668716062613e-06,7.0781890766811695e-06,6.982844903930253e-06,6.9679683770028935e-06,7.025392494757376e-06,7.084794249119485e-06,7.0350253580243084e-06,6.8935747222804475e-06,6.9257374224976565e-06,6.853594529319705e-06,6.7403687161759045e-06,6.916195770050845e-06,6.9807269628478776e-06,7.042841107772442e-06,7.075486441128777e-06,7.1172273201741045e-06,7.0961668839153675e-06,6.996597444755123e-06,6.926299815059897e-06,7.016911115512733e-06,7.063769887032132e-06,7.1020564671653195e-06,7.174909252437683e-06,7.260869796674362e-06,7.153757519441285e-06,7.296699812542662e-06,7.321723266383348e-06,7.447722571516874e-06,7.4767345181457794e-06,7.717534455470453e-06,7.678721135538596e-06,7.668907038963639e-06,7.95773837729662e-06,7.837937742189778e-06,7.801187444165609e-06,7.842020531956449e-06,7.941957466245122e-06,8.254168965364365e-06,8.062548605649612e-06,8.05362730426371e-06,8.000506035076302e-06,8.143147927333617e-06,7.930544796800134e-06,7.823914925964959e-06,7.898165242632313e-06,7.811889946381723e-06,8.001105129536715e-06,7.964630032012752e-06,7.759398221954421e-06,7.752801714176076e-06,7.920658959961027e-06,7.81498948319136e-06,7.83333970827913e-06,7.870665980834842e-06,7.856301952306948e-06,7.947133078555793e-06,7.843256609354609e-06,8.116458137447046e-06,7.756934113429516e-06,7.945305124264833e-06,7.955062087031087e-06,7.850240594706292e-06,8.121360230582621e-06,7.892477290159532e-06
7,6.4066127736933476e-06,6.439910699025034e-06,6.5209511281383015e-06,6.6846602224974816e-06,6.563648331971174e-06,6.796828089358208e-06,6.950284054842158e-06,7.133292859643327e-06,7.017883722348297e-06,7.033874857721399e-06,7.147191615247553e-06,7.208884581319992e-06,7.106875672195545e-06,6.978337598742143e-06,7.069708068346727e-06,6.98308234426762e-06,6.8657627460730885e-06,7.072467239746312e-06,7.168767843597497e-06,7.208003223371588e-06,7.272705099617995e-06,7.410155309009246e-06,7.266455353239827e-06,7.107858572918829e-06,7.096976057094615e-06,7.185395011283864e-06,7.1940046356597566e-06,7.1935232917796215e-06,7.247445571968266e-06,7.423176747944304e-06,7.2897058031274715e-06,7.342459660028258e-06,7.4011388182939104e-06,7.4982977155312025e-06,7.560905099619353e-06,7.851377237138835e-06,7.797940763842243e-06,7.76951233882346e-06,7.948832857234253e-06,7.903224528617496e-06,7.803867207467833e-06,7.88283447646436e-06,7.952277328894935e-06,8.27482058904594e-06,8.147718936004898e-06,8.089970180856068e-06,8.06121715223584e-06,8.147693565425042e-06,7.991421330924883e-06,7.886863156973609e-06,7.966851886352158e-06,7.88634498818924e-06,8.108942671500332e-06,8.133042774282031e-06,7.952828434493739e-06,7.87266587915879e-06,8.04940483712976e-06,7.966433013461203e-06,8.027100830224915e-06,8.03614306297346e-06,7.991521479423359e-06,8.070959186385542e-06,8.007262180759106e-06,8.254282532505472e-06,8.010589932217947e-06,8.233916795168264e-06,8.235646288116052e-06,8.00449918804173e-06,8.28921832642997e-06,8.10224545514181e-06
8,6.402582415162296e-06,6.378761386734543e-06,6.5069893932545525e-06,6.726423757620393e-06,6.59548951744338e-06,6.8326968166772275e-06,6.9748404089782576e-06,7.148029365352237e-06,7.048615613193007e-06,7.0788783637374265e-06,7.266597954038571e-06,7.3118726893015104e-06,7.1782045779267745e-06,7.067046770226761e-06,7.218674666192099e-06,7.130599033221975e-06,7.013733886696466e-06,7.2449089124400345e-06,7.349778741107677e-06,7.376629068353253e-06,7.512444440842781e-06,7.690231438321237e-06,7.450512897364697e-06,7.249352239298743e-06,7.28826972424549e-06,7.368251605598538e-06,7.320267676355679e-06,7.3158848485342175e-06,7.359259333172929e-06,7.5949611666211946e-06,7.4306344133850085e-06,7.399974031156746e-06,7.5069374715360035e-06,7.5512231441363095e-06,7.630275103123251e-06,7.971252295411829e-06,7.90630606683591e-06,7.85083258445103e-06,7.908840336550467e-06,7.93518332968949e-06,7.798515343503784e-06,7.89107122171546e-06,7.930869575241768e-06,8.265431726659071e-06,8.17937949280931e-06,8.107581947922882e-06,8.106702018529436e-06,8.155969645164521e-06,8.06364180234267e-06,7.960230900360252e-06,8.039135748513347e-06,7.978013514463576e-06,8.20274722053114e-06,8.263098217229609e-06,8.09623812390555e-06,8.001071443268099e-06,8.176996829942469e-06,8.121651487832703e-06,8.188675137701884e-06,8.201657751576346e-06,8.124604724770476e-06,8.223226419858298e-06,8.22860576235886e-06,8.410553041867285e-06,8.286276787181254e-06,8.550869591336159e-06,8.565802516953046e-06,8.187297841291689e-06,8.515104794534514e-06,8.352951072661885e-06
9,6.41432884607491e-06,6.36129219101256e-06,6.5180127287519015e-06,6.788058658800555e-06,6.661763878328057e-06,6.899100340920686e-06,6.999167046615374e-06,7.142604669764122e-06,7.078655331200798e-06,7.108625016025328e-06,7.353496923107414e-06,7.377588629594142e-06,7.266149374480303e-06,7.169059545344763e-06,7.363276582496549e-06,7.305881342854311e-06,7.190927477139629e-06,7.4301042162303585e-06,7.522037156037872e-06,7.571002213095456e-06,7.773454056740496e-06,7.916644231781262e-06,7.655120077072385e-06,7.436298570282829e-06,7.493969068571402e-06,7.547372118228925e-06,7.452284926003841e-06,7.457708612669347e-06,7.5100373773720936e-06,7.75610890986244e-06,7.568653959694638e-06,7.488190744819444e-06,7.640135291124049e-06,7.603568576233244e-06,7.690179547829157e-06,8.054942337929854e-06,7.978802175653079e-06,7.891029443065232e-06,7.836066274355288e-06,7.923134930838236e-06,7.795594869393523e-06,7.872161368870726e-06,7.889718443531152e-06,8.240601638390533e-06,8.168614855281466e-06,8.125283825688144e-06,8.164036067234113e-06,8.170005178004697e-06,8.148278158820352e-06,8.031959718891223e-06,8.103970923880288e-06,8.072671816353499e-06,8.28390647210197e-06,8.354262984522607e-06,8.215694516720652e-06,8.147808539192906e-06,8.318612467274018e-06,8.279732013035523e-06,8.323129696719701e-06,8.390746962324008e-06,8.282513609497534e-06,8.427600241893059e-06,8.507983762464513e-06,8.59989321929878e-06,8.588436824648828e-06,8.870697329949016e-06,8.932719470555824e-06,8.414531990933537e-06,8.800075005084446e-06,8.6454365989717e-06
